a,b
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
3.0,2.0
0.0,0.0
1.0,0.0
1.0,0.0
3.0,2.0
5.0,2.0
4.0,3.0
7.0,2.0
6.0,4.0
4.0,6.0
10.0,3.0
11.0,6.0
10.0,5.0
15.0,9.0
10.0,6.0
25.0,6.0
22.0,10.0
13.0,13.0
22.0,3.0
22.0,8.0
19.0,12.0
25.0,14.0
26.0,7.0
24.0,17.0
24.0,6.0
26.0,12.0
19.0,15.0
24.0,15.0
19.0,8.0
28.0,13.0
19.0,9.0
25.0,11.0
14.0,13.0
32.0,11.0
32.0,15.0
17.0,14.0
25.0,14.0
23.0,12.0
25.0,11.0
12.0,12.0
22.0,8.0
20.0,13.0
18.0,13.0
24.0,14.0
27.0,16.0
15.0,14.0
26.0,11.0
15.0,6.0
34.0,6.0
14.0,6.0
14.0,7.0
7.0,8.0
13.0,2.0
10.0,8.0
17.0,3.0
6.0,2.0
11.0,2.0
7.0,4.0
3.0,4.0
3.0,2.0
3.0,1.0
1.0,0.0
3.0,1.0
5.0,0.0
1.0,1.0
0.0,0.0
1.0,1.0
3.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
