i,j
86,20
86,20
90,20
98,20
99,20
100,20
100,20
102,20
106,20
108,20
109,20
116,20
81,19
82,19
83,19
83,19
85,19
85,19
87,19
91,19
94,19
96,19
97,19
98,19
98,19
101,19
102,19
102,19
103,19
103,19
108,19
111,19
112,19
117,19
118,19
118,19
120,19
120,19
82,18
82,18
86,18
87,18
89,18
89,18
90,18
90,18
94,18
94,18
95,18
97,18
99,18
99,18
99,18
100,18
100,18
102,18
102,18
104,18
107,18
109,18
109,18
111,18
111,18
113,18
119,18
82,17
83,17
83,17
85,17
89,17
92,17
94,17
95,17
96,17
98,17
102,17
103,17
104,17
105,17
108,17
109,17
112,17
113,17
119,17
120,17
120,17
81,16
83,16
87,16
89,16
91,16
92,16
92,16
94,16
96,16
99,16
107,16
108,16
111,16
111,16
114,16
114,16
82,15
84,15
85,15
88,15
94,15
95,15
95,15
95,15
96,15
96,15
100,15
100,15
100,15
101,15
103,15
104,15
106,15
107,15
119,15
81,14
84,14
86,14
89,14
93,14
93,14
93,14
95,14
98,14
101,14
101,14
102,14
103,14
106,14
108,14
108,14
110,14
112,14
113,14
114,14
114,14
118,14
119,14
119,14
120,14
82,13
83,13
84,13
84,13
86,13
91,13
91,13
93,13
96,13
103,13
105,13
106,13
106,13
108,13
111,13
116,13
116,13
119,13
82,12
84,12
88,12
90,12
90,12
91,12
94,12
97,12
99,12
101,12
101,12
104,12
110,12
113,12
113,12
115,12
116,12
81,11
85,11
86,11
97,11
101,11
104,11
105,11
105,11
110,11
110,11
113,11
114,11
115,11
115,11
119,11
86,10
87,10
89,10
91,10
92,10
99,10
99,10
105,10
109,10
109,10
110,10
111,10
112,10
112,10
113,10
115,10
118,10
81,9
84,9
84,9
85,9
85,9
87,9
87,9
88,9
89,9
91,9
93,9
96,9
99,9
101,9
105,9
107,9
109,9
110,9
115,9
116,9
116,9
119,9
119,9
83,8
83,8
89,8
91,8
92,8
93,8
97,8
98,8
101,8
104,8
105,8
106,8
107,8
107,8
112,8
115,8
117,8
117,8
118,8
120,8
81,7
83,7
87,7
88,7
89,7
90,7
90,7
92,7
97,7
98,7
102,7
109,7
110,7
110,7
112,7
114,7
117,7
118,7
120,7
120,7
82,6
85,6
86,6
89,6
90,6
93,6
95,6
96,6
97,6
99,6
104,6
104,6
106,6
106,6
107,6
108,6
112,6
113,6
115,6
115,6
116,6
81,5
81,5
81,5
82,5
86,5
87,5
87,5
88,5
90,5
91,5
92,5
98,5
100,5
100,5
104,5
108,5
110,5
110,5
113,5
115,5
115,5
116,5
117,5
117,5
117,5
83,4
84,4
88,4
92,4
94,4
94,4
95,4
96,4
97,4
98,4
98,4
101,4
102,4
105,4
105,4
108,4
109,4
111,4
112,4
114,4
114,4
117,4
118,4
84,3
84,3
85,3
85,3
88,3
95,3
102,3
103,3
105,3
106,3
107,3
107,3
109,3
111,3
117,3
118,3
119,3
120,3
88,2
90,2
91,2
92,2
97,2
97,2
100,2
103,2
107,2
111,2
114,2
114,2
116,2
117,2
118,2
118,2
120,2
81,1
82,1
86,1
87,1
88,1
88,1
92,1
93,1
93,1
93,1
94,1
95,1
96,1
103,1
103,1
104,1
106,1
112,1
113,1
116,1
