i,j
99,20
110,20
112,20
112,20
115,20
115,20
121,20
124,20
128,20
129,20
130,20
134,20
135,20
135,20
135,20
136,20
137,20
139,20
139,20
142,20
146,20
146,20
151,20
114,19
114,19
123,19
127,19
128,19
128,19
128,19
137,19
137,19
140,19
141,19
157,19
100,18
102,18
106,18
108,18
113,18
113,18
113,18
119,18
119,18
122,18
127,18
127,18
131,18
134,18
136,18
136,18
140,18
140,18
144,18
150,18
107,17
107,17
109,17
109,17
109,17
112,17
115,17
117,17
117,17
121,17
123,17
126,17
126,17
128,17
128,17
128,17
130,17
130,17
132,17
134,17
134,17
137,17
138,17
142,17
143,17
149,17
109,16
110,16
110,16
110,16
113,16
114,16
114,16
120,16
124,16
127,16
132,16
133,16
139,16
150,16
151,16
105,15
105,15
107,15
108,15
108,15
114,15
116,15
116,15
116,15
120,15
120,15
120,15
120,15
122,15
122,15
125,15
125,15
125,15
126,15
127,15
129,15
129,15
129,15
129,15
129,15
129,15
131,15
136,15
137,15
139,15
139,15
141,15
144,15
146,15
152,15
152,15
97,14
98,14
101,14
101,14
102,14
103,14
104,14
106,14
109,14
110,14
110,14
110,14
110,14
111,14
111,14
115,14
118,14
118,14
118,14
118,14
118,14
121,14
125,14
126,14
129,14
129,14
130,14
130,14
133,14
135,14
135,14
136,14
137,14
138,14
138,14
142,14
149,14
93,13
99,13
103,13
108,13
112,13
112,13
116,13
116,13
116,13
118,13
119,13
119,13
119,13
121,13
122,13
124,13
124,13
127,13
127,13
127,13
132,13
132,13
134,13
134,13
134,13
134,13
138,13
141,13
143,13
144,13
145,13
148,13
151,13
97,12
98,12
103,12
104,12
109,12
110,12
113,12
113,12
113,12
114,12
119,12
119,12
125,12
127,12
128,12
128,12
128,12
137,12
137,12
139,12
139,12
144,12
146,12
146,12
146,12
147,12
150,12
150,12
102,11
106,11
107,11
107,11
112,11
113,11
118,11
121,11
123,11
126,11
126,11
129,11
129,11
130,11
131,11
132,11
133,11
135,11
135,11
135,11
138,11
141,11
153,11
93,10
99,10
106,10
106,10
110,10
110,10
116,10
116,10
117,10
117,10
122,10
122,10
125,10
128,10
128,10
130,10
130,10
131,10
131,10
131,10
131,10
134,10
137,10
137,10
138,10
142,10
143,10
143,10
143,10
151,10
104,9
110,9
112,9
114,9
114,9
114,9
116,9
118,9
120,9
120,9
120,9
120,9
120,9
123,9
124,9
124,9
126,9
127,9
127,9
127,9
127,9
130,9
135,9
138,9
138,9
148,9
100,8
101,8
105,8
105,8
108,8
114,8
115,8
118,8
119,8
119,8
119,8
121,8
122,8
123,8
128,8
131,8
132,8
133,8
135,8
135,8
135,8
136,8
136,8
137,8
137,8
138,8
138,8
143,8
102,7
102,7
102,7
106,7
115,7
116,7
120,7
124,7
125,7
126,7
130,7
132,7
136,7
136,7
139,7
139,7
140,7
144,7
144,7
159,7
104,6
106,6
109,6
113,6
116,6
117,6
120,6
120,6
123,6
129,6
130,6
131,6
131,6
141,6
105,5
109,5
112,5
113,5
115,5
116,5
117,5
118,5
120,5
122,5
122,5
122,5
124,5
132,5
132,5
133,5
133,5
135,5
137,5
140,5
142,5
143,5
146,5
86,4
104,4
107,4
114,4
114,4
123,4
125,4
125,4
125,4
125,4
129,4
130,4
132,4
132,4
134,4
136,4
137,4
137,4
138,4
138,4
139,4
141,4
144,4
144,4
147,4
155,4
109,3
113,3
114,3
114,3
118,3
119,3
119,3
120,3
121,3
121,3
122,3
124,3
124,3
124,3
127,3
131,3
133,3
136,3
136,3
136,3
139,3
146,3
101,2
106,2
110,2
113,2
116,2
116,2
116,2
116,2
116,2
119,2
123,2
123,2
125,2
125,2
126,2
126,2
126,2
128,2
129,2
132,2
134,2
134,2
134,2
136,2
137,2
138,2
138,2
140,2
145,2
104,1
106,1
108,1
109,1
111,1
118,1
119,1
119,1
122,1
122,1
127,1
133,1
142,1
147,1
