a,b
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.01
0.0,0.0
0.01,0.0
0.03,0.01
0.04,0.03
0.11,0.02
0.13,0.01
0.11000000000000001,0.08
0.22,0.13
0.37000000000000005,0.15
0.39000000000000007,0.22
0.5800000000000001,0.2
0.7200000000000002,0.47000000000000003
1.1500000000000001,0.5800000000000001
1.3800000000000003,0.82
2.28,0.99
2.79,1.33
3.5000000000000004,1.6600000000000001
4.3100000000000005,2.0300000000000002
5.41,2.58
6.1000000000000005,3.4900000000000007
8.1,3.5700000000000003
8.850000000000001,4.3500000000000005
11.0,4.98
11.78,5.5600000000000005
13.510000000000002,6.24
14.48,7.59
15.46,7.800000000000001
17.119999999999997,8.83
19.530000000000005,9.49
18.8,9.77
21.71,10.259999999999998
20.080000000000002,10.610000000000001
22.390000000000004,11.360000000000001
22.049999999999997,11.110000000000003
24.3,10.84
23.980000000000004,11.82
23.59,12.15
23.659999999999997,12.059999999999999
23.250000000000004,11.96
23.54,11.66
25.090000000000003,12.34
24.009999999999998,12.46
25.29,12.149999999999999
23.79,12.58
25.549999999999997,12.389999999999999
25.400000000000002,12.08
24.200000000000003,11.889999999999999
23.949999999999996,12.86
24.86,12.16
24.4,11.819999999999997
23.909999999999997,12.07
24.4,12.280000000000001
23.689999999999998,11.23
23.04,11.07
23.740000000000002,12.100000000000001
21.26,10.76
22.78,11.19
19.349999999999998,10.59
19.19,10.030000000000001
18.339999999999996,8.520000000000001
16.93,8.719999999999999
15.489999999999998,7.370000000000001
14.169999999999998,6.77
13.850000000000001,6.920000000000001
11.86,5.76
10.19,5.39
8.79,4.41
7.660000000000001,3.64
6.44,2.96
5.470000000000001,2.8
4.11,2.5100000000000002
3.54,2.06
2.8000000000000003,1.18
1.9600000000000002,1.12
1.87,0.8200000000000001
1.4500000000000002,0.7500000000000001
0.9600000000000002,0.39
0.79,0.33
0.55,0.23
0.38000000000000006,0.21999999999999997
0.25,0.13999999999999999
0.21999999999999997,0.15000000000000002
0.13,0.060000000000000005
0.15000000000000002,0.07
0.07,0.03
0.03,0.0
0.05,0.02
0.03,0.0
0.0,0.0
0.0,0.0
0.01,0.0
0.01,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
