a,b
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
6.898644732230675e-17,3.4486343741806194e-17
6.898644732230675e-17,3.4486343741806194e-17
1.379728946446135e-16,6.897268748361239e-17
2.75945789289227e-16,1.3794537496722477e-16
4.829051312561472e-16,2.4140440619264334e-16
8.278373678676808e-16,4.138361249016743e-16
1.4487153937684416e-15,7.242132185779301e-16
2.6214849982476564e-15,1.3104810621886354e-15
4.553105523272246e-15,2.276098686959209e-15
8.002427889387583e-15,4.0004158740495184e-15
1.3866275911783657e-14,6.931755092103045e-15
2.3938297220840437e-14,1.1966761278406748e-14
4.1115922604094814e-14,2.055386087011649e-14
7.029718982143058e-14,3.514158427290051e-14
1.196224996568799e-13,5.979932004829194e-14
2.0254420933829262e-13,1.0125190522594299e-13
3.413449413507738e-13,1.7063842883445706e-13
5.724495398805014e-13,2.861676803695078e-13
9.553243225193038e-13,4.775668881365322e-13
1.5864123426237658e-12,7.930479606865752e-13
2.621553984694979e-12,1.3105155485323772e-12
