a,b
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
0.0,2.0
1.0,0.0
4.0,0.0
1.0,1.0
2.0,0.0
3.0,2.0
7.0,7.0
9.0,1.0
10.0,1.0
5.0,7.0
7.0,4.0
9.0,5.0
8.0,2.0
15.0,5.0
14.0,8.0
23.0,8.0
18.0,8.0
12.0,11.0
16.0,11.0
28.0,8.0
26.0,10.0
22.0,20.0
16.0,12.0
42.0,21.0
38.0,20.0
48.0,13.0
66.0,17.0
38.0,17.0
31.0,22.0
35.0,28.0
58.0,19.0
39.0,26.0
59.0,29.0
74.0,25.0
79.0,26.0
49.0,28.0
53.0,37.0
46.0,41.0
71.0,20.0
66.0,26.0
93.0,31.0
62.0,29.0
72.0,31.0
74.0,27.0
38.0,47.0
87.0,30.0
50.0,33.0
66.0,24.0
96.0,38.0
63.0,25.0
60.0,48.0
39.0,17.0
45.0,35.0
54.0,18.0
48.0,45.0
61.0,14.0
62.0,51.0
47.0,15.0
62.0,24.0
47.0,25.0
50.0,11.0
59.0,27.0
49.0,18.0
36.0,11.0
24.0,13.0
22.0,13.0
30.0,12.0
15.0,6.0
22.0,11.0
12.0,15.0
17.0,8.0
11.0,11.0
12.0,9.0
7.0,5.0
14.0,6.0
4.0,4.0
11.0,1.0
6.0,1.0
9.0,3.0
5.0,2.0
3.0,4.0
0.0,3.0
1.0,2.0
1.0,1.0
2.0,0.0
0.0,0.0
1.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
0.0,0.0
