i,j
110,20
116,20
120,20
122,20
129,20
129,20
129,20
131,20
131,20
131,20
134,20
134,20
134,20
134,20
134,20
134,20
134,20
134,20
134,20
135,20
135,20
135,20
136,20
136,20
136,20
137,20
137,20
137,20
137,20
139,20
139,20
142,20
144,20
144,20
144,20
144,20
146,20
146,20
146,20
146,20
146,20
146,20
146,20
146,20
146,20
148,20
148,20
149,20
149,20
150,20
150,20
150,20
150,20
150,20
150,20
150,20
150,20
150,20
152,20
152,20
152,20
153,20
153,20
153,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
155,20
156,20
156,20
158,20
158,20
158,20
158,20
158,20
158,20
158,20
158,20
158,20
158,20
159,20
159,20
159,20
159,20
159,20
159,20
159,20
159,20
160,20
160,20
160,20
162,20
162,20
162,20
162,20
162,20
162,20
164,20
164,20
164,20
166,20
166,20
166,20
167,20
168,20
168,20
168,20
168,20
168,20
168,20
168,20
168,20
168,20
168,20
170,20
170,20
170,20
170,20
170,20
170,20
170,20
170,20
172,20
172,20
172,20
175,20
175,20
175,20
179,20
180,20
182,20
184,20
185,20
113,19
118,19
118,19
121,19
121,19
121,19
123,19
123,19
126,19
127,19
127,19
127,19
128,19
128,19
128,19
129,19
129,19
129,19
129,19
129,19
130,19
130,19
132,19
132,19
133,19
133,19
133,19
133,19
133,19
133,19
133,19
135,19
135,19
137,19
138,19
138,19
138,19
138,19
138,19
139,19
140,19
140,19
140,19
140,19
140,19
140,19
140,19
140,19
141,19
142,19
142,19
142,19
142,19
142,19
142,19
142,19
142,19
142,19
142,19
142,19
142,19
144,19
144,19
144,19
145,19
146,19
146,19
146,19
147,19
147,19
148,19
149,19
149,19
149,19
149,19
149,19
149,19
149,19
149,19
149,19
152,19
152,19
152,19
154,19
154,19
154,19
154,19
154,19
154,19
154,19
154,19
154,19
155,19
155,19
156,19
156,19
156,19
156,19
156,19
157,19
157,19
157,19
157,19
157,19
157,19
157,19
157,19
160,19
160,19
161,19
161,19
162,19
162,19
162,19
162,19
162,19
162,19
162,19
162,19
162,19
164,19
164,19
164,19
164,19
164,19
165,19
165,19
165,19
165,19
166,19
166,19
166,19
166,19
166,19
166,19
166,19
166,19
167,19
167,19
169,19
169,19
170,19
170,19
170,19
170,19
172,19
172,19
173,19
174,19
174,19
175,19
176,19
176,19
176,19
177,19
177,19
178,19
178,19
178,19
178,19
186,19
192,19
113,18
114,18
118,18
123,18
124,18
125,18
125,18
126,18
128,18
131,18
131,18
132,18
136,18
136,18
136,18
136,18
141,18
141,18
141,18
141,18
142,18
142,18
142,18
142,18
144,18
144,18
145,18
147,18
148,18
148,18
148,18
148,18
148,18
148,18
148,18
148,18
148,18
148,18
150,18
150,18
150,18
150,18
150,18
150,18
150,18
153,18
153,18
153,18
153,18
153,18
153,18
154,18
154,18
154,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
156,18
157,18
157,18
157,18
157,18
157,18
157,18
157,18
157,18
157,18
157,18
157,18
159,18
159,18
160,18
160,18
160,18
160,18
160,18
160,18
160,18
160,18
160,18
160,18
161,18
161,18
161,18
161,18
163,18
163,18
163,18
163,18
163,18
163,18
163,18
163,18
164,18
165,18
165,18
165,18
166,18
168,18
168,18
168,18
169,18
169,18
169,18
169,18
171,18
171,18
171,18
173,18
174,18
181,18
182,18
194,18
115,17
115,17
116,17
121,17
124,17
124,17
124,17
125,17
126,17
127,17
127,17
131,17
133,17
133,17
133,17
135,17
135,17
136,17
136,17
136,17
136,17
137,17
138,17
138,17
138,17
138,17
139,17
139,17
139,17
139,17
140,17
140,17
140,17
140,17
140,17
140,17
143,17
143,17
143,17
143,17
143,17
144,17
144,17
144,17
144,17
145,17
145,17
145,17
145,17
145,17
145,17
145,17
146,17
146,17
146,17
146,17
146,17
146,17
146,17
146,17
147,17
147,17
148,17
148,17
148,17
148,17
148,17
148,17
148,17
148,17
148,17
150,17
150,17
150,17
150,17
150,17
150,17
150,17
150,17
151,17
151,17
151,17
151,17
151,17
151,17
151,17
151,17
152,17
152,17
153,17
153,17
153,17
154,17
154,17
154,17
154,17
154,17
154,17
154,17
154,17
154,17
155,17
