i,j
81,20
83,20
88,20
88,20
89,20
90,20
92,20
92,20
93,20
96,20
99,20
99,20
101,20
102,20
102,20
108,20
112,20
118,20
119,20
120,20
83,19
83,19
84,19
85,19
86,19
88,19
97,19
99,19
100,19
101,19
104,19
107,19
112,19
118,19
118,19
119,19
120,19
120,19
120,19
84,18
88,18
91,18
95,18
96,18
97,18
98,18
100,18
106,18
106,18
106,18
107,18
107,18
107,18
108,18
109,18
109,18
109,18
113,18
113,18
115,18
116,18
116,18
118,18
86,17
89,17
90,17
90,17
90,17
97,17
98,17
99,17
99,17
101,17
103,17
104,17
112,17
113,17
114,17
116,17
117,17
117,17
81,16
86,16
88,16
92,16
93,16
97,16
98,16
99,16
101,16
103,16
106,16
110,16
111,16
113,16
115,16
117,16
82,15
83,15
84,15
84,15
86,15
86,15
91,15
95,15
96,15
104,15
105,15
106,15
110,15
114,15
115,15
115,15
115,15
116,15
117,15
117,15
82,14
82,14
86,14
87,14
91,14
93,14
94,14
97,14
101,14
103,14
105,14
108,14
108,14
110,14
113,14
114,14
119,14
120,14
81,13
83,13
84,13
84,13
86,13
87,13
89,13
92,13
95,13
104,13
109,13
111,13
111,13
118,13
81,12
85,12
85,12
85,12
88,12
89,12
90,12
94,12
97,12
102,12
102,12
106,12
107,12
108,12
109,12
110,12
111,12
112,12
112,12
116,12
117,12
117,12
119,12
82,11
83,11
88,11
90,11
94,11
95,11
100,11
101,11
102,11
103,11
103,11
106,11
117,11
118,11
119,11
119,11
120,11
120,11
81,10
82,10
83,10
84,10
88,10
89,10
90,10
91,10
94,10
95,10
95,10
96,10
97,10
100,10
104,10
104,10
108,10
108,10
108,10
109,10
110,10
114,10
119,10
120,10
81,9
82,9
83,9
87,9
90,9
93,9
94,9
98,9
98,9
101,9
103,9
104,9
110,9
111,9
111,9
113,9
113,9
114,9
81,8
81,8
82,8
85,8
86,8
87,8
87,8
87,8
89,8
89,8
90,8
91,8
91,8
94,8
102,8
105,8
106,8
107,8
110,8
112,8
113,8
114,8
115,8
115,8
118,8
119,8
83,7
87,7
91,7
92,7
92,7
93,7
94,7
96,7
100,7
102,7
103,7
104,7
104,7
105,7
105,7
109,7
110,7
113,7
114,7
116,7
118,7
120,7
84,6
85,6
86,6
87,6
90,6
94,6
97,6
102,6
105,6
106,6
110,6
114,6
117,6
82,5
82,5
82,5
85,5
89,5
91,5
91,5
93,5
93,5
93,5
94,5
98,5
98,5
99,5
100,5
100,5
100,5
103,5
107,5
107,5
111,5
119,5
84,4
84,4
85,4
92,4
96,4
96,4
97,4
100,4
100,4
101,4
102,4
103,4
105,4
105,4
111,4
114,4
115,4
115,4
117,4
119,4
120,4
81,3
85,3
86,3
87,3
89,3
89,3
91,3
96,3
98,3
99,3
99,3
101,3
105,3
106,3
109,3
109,3
112,3
116,3
116,3
118,3
83,2
87,2
88,2
92,2
92,2
92,2
93,2
93,2
94,2
95,2
95,2
96,2
97,2
98,2
101,2
104,2
105,2
107,2
108,2
110,2
111,2
111,2
112,2
112,2
116,2
118,2
81,1
85,1
88,1
95,1
95,1
96,1
98,1
99,1
102,1
103,1
107,1
108,1
109,1
112,1
113,1
114,1
115,1
116,1
