i,j
87,132
102,131
103,131
107,131
103,130
78,129
106,129
86,128
94,128
100,128
102,128
104,128
105,128
107,128
114,128
117,128
90,127
102,127
111,127
90,126
109,126
112,126
115,126
126,126
78,125
82,125
87,125
90,125
91,125
92,125
93,125
100,125
106,125
109,125
85,124
90,124
93,124
96,124
98,124
100,124
101,124
104,124
105,124
114,124
115,124
84,123
85,123
96,123
99,123
100,123
105,123
109,123
112,123
115,123
80,122
81,122
83,122
93,122
95,122
96,122
97,122
100,122
102,122
105,122
106,122
107,122
116,122
119,122
84,121
92,121
93,121
100,121
101,121
102,121
103,121
104,121
105,121
106,121
109,121
110,121
111,121
112,121
119,121
80,120
82,120
86,120
87,120
89,120
93,120
95,120
96,120
97,120
99,120
100,120
103,120
104,120
105,120
106,120
107,120
108,120
112,120
117,120
120,120
124,120
126,120
78,119
84,119
87,119
88,119
93,119
94,119
95,119
96,119
98,119
102,119
103,119
109,119
111,119
112,119
115,119
116,119
120,119
121,119
81,118
84,118
85,118
86,118
88,118
89,118
91,118
93,118
94,118
95,118
96,118
97,118
98,118
99,118
100,118
103,118
104,118
105,118
106,118
109,118
110,118
112,118
113,118
115,118
116,118
68,117
78,117
79,117
85,117
89,117
90,117
91,117
93,117
97,117
98,117
99,117
100,117
101,117
103,117
104,117
108,117
109,117
111,117
112,117
114,117
116,117
117,117
122,117
124,117
128,117
78,116
80,116
84,116
86,116
87,116
89,116
90,116
91,116
92,116
93,116
94,116
95,116
96,116
98,116
100,116
101,116
102,116
105,116
106,116
107,116
108,116
109,116
111,116
112,116
113,116
114,116
119,116
83,115
85,115
86,115
87,115
89,115
91,115
92,115
93,115
94,115
95,115
98,115
100,115
101,115
102,115
105,115
106,115
108,115
109,115
110,115
111,115
112,115
114,115
115,115
117,115
118,115
120,115
73,114
79,114
84,114
85,114
87,114
88,114
90,114
91,114
92,114
93,114
94,114
95,114
97,114
98,114
99,114
101,114
102,114
103,114
104,114
105,114
106,114
107,114
108,114
109,114
110,114
112,114
113,114
115,114
116,114
117,114
122,114
72,113
75,113
79,113
86,113
88,113
89,113
90,113
91,113
93,113
94,113
95,113
96,113
98,113
99,113
100,113
101,113
102,113
104,113
106,113
107,113
108,113
109,113
110,113
111,113
112,113
113,113
118,113
119,113
129,113
79,112
80,112
85,112
86,112
88,112
90,112
91,112
92,112
93,112
94,112
95,112
96,112
97,112
98,112
99,112
100,112
101,112
103,112
104,112
105,112
107,112
108,112
109,112
110,112
111,112
112,112
114,112
121,112
124,112
127,112
75,111
77,111
78,111
80,111
81,111
84,111
87,111
88,111
89,111
90,111
91,111
92,111
93,111
94,111
96,111
98,111
99,111
100,111
101,111
102,111
103,111
104,111
105,111
106,111
107,111
108,111
109,111
111,111
112,111
113,111
114,111
115,111
116,111
117,111
118,111
120,111
127,111
72,110
75,110
78,110
80,110
82,110
83,110
85,110
86,110
88,110
90,110
92,110
93,110
94,110
95,110
96,110
97,110
98,110
100,110
102,110
103,110
104,110
105,110
106,110
107,110
108,110
109,110
110,110
111,110
112,110
113,110
114,110
115,110
116,110
118,110
120,110
121,110
123,110
71,109
73,109
76,109
78,109
79,109
80,109
84,109
85,109
86,109
88,109
89,109
90,109
91,109
93,109
95,109
96,109
97,109
98,109
99,109
101,109
102,109
103,109
104,109
105,109
106,109
107,109
109,109
110,109
111,109
112,109
113,109
114,109
115,109
116,109
117,109
119,109
121,109
71,108
78,108
79,108
81,108
82,108
84,108
85,108
86,108
87,108
88,108
89,108
90,108
91,108
92,108
93,108
95,108
96,108
97,108
98,108
99,108
100,108
101,108
102,108
103,108
104,108
105,108
106,108
107,108
108,108
109,108
110,108
111,108
113,108
114,108
116,108
117,108
118,108
119,108
121,108
122,108
123,108
71,107
74,107
76,107
77,107
78,107
81,107
82,107
83,107
84,107
86,107
87,107
88,107
89,107
91,107
95,107
96,107
97,107
98,107
100,107
101,107
102,107
104,107
105,107
106,107
107,107
108,107
109,107
110,107
111,107
112,107
113,107
115,107
116,107
118,107
119,107
120,107
122,107
128,107
133,107
79,106
83,106
84,106
86,106
87,106
89,106
90,106
91,106
92,106
93,106
94,106
95,106
97,106
98,106
101,106
102,106
103,106
104,106
105,106
106,106
107,106
108,106
110,106
111,106
113,106
114,106
115,106
116,106
118,106
119,106
121,106
124,106
136,106
79,105
80,105
81,105
82,105
84,105
85,105
86,105
87,105
88,105
89,105
90,105
91,105
92,105
93,105
94,105
95,105
96,105
97,105
99,105
100,105
101,105
102,105
103,105
104,105
105,105
106,105
107,105
108,105
109,105
111,105
112,105
113,105
114,105
115,105
117,105
118,105
119,105
120,105
122,105
124,105
125,105
73,104
78,104
80,104
81,104
82,104
83,104
84,104
85,104
86,104
87,104
88,104
90,104
91,104
92,104
93,104
94,104
95,104
96,104
97,104
98,104
99,104
100,104
102,104
103,104
104,104
105,104
106,104
107,104
108,104
109,104
110,104
111,104
112,104
113,104
114,104
117,104
118,104
119,104
120,104
124,104
127,104
130,104
137,104
79,103
80,103
81,103
82,103
83,103
84,103
85,103
87,103
89,103
90,103
91,103
92,103
93,103
94,103
95,103
96,103
97,103
98,103
99,103
100,103
101,103
102,103
103,103
104,103
105,103
106,103
107,103
108,103
109,103
110,103
111,103
112,103
113,103
114,103
115,103
118,103
119,103
120,103
121,103
122,103
125,103
130,103
63,102
76,102
77,102
78,102
79,102
81,102
82,102
83,102
84,102
85,102
87,102
88,102
89,102
90,102
92,102
93,102
94,102
96,102
97,102
98,102
99,102
100,102
101,102
102,102
103,102
104,102
105,102
106,102
107,102
108,102
109,102
110,102
111,102
112,102
113,102
114,102
115,102
116,102
117,102
119,102
120,102
121,102
122,102
125,102
131,102
76,101
78,101
82,101
84,101
86,101
87,101
88,101
89,101
90,101
91,101
92,101
93,101
94,101
95,101
96,101
97,101
98,101
99,101
100,101
101,101
102,101
103,101
104,101
105,101
106,101
107,101
108,101
109,101
110,101
111,101
112,101
114,101
115,101
116,101
120,101
121,101
122,101
123,101
127,101
133,101
78,100
79,100
81,100
82,100
83,100
84,100
85,100
86,100
87,100
88,100
89,100
91,100
92,100
93,100
94,100
95,100
96,100
97,100
98,100
99,100
100,100
101,100
102,100
103,100
104,100
105,100
106,100
107,100
108,100
109,100
110,100
111,100
113,100
114,100
115,100
116,100
117,100
118,100
120,100
121,100
122,100
125,100
127,100
128,100
136,100
72,99
76,99
77,99
81,99
82,99
84,99
87,99
88,99
89,99
92,99
93,99
94,99
95,99
97,99
98,99
99,99
100,99
101,99
102,99
103,99
104,99
106,99
107,99
108,99
109,99
110,99
111,99
112,99
113,99
114,99
116,99
117,99
119,99
121,99
122,99
124,99
131,99
69,98
74,98
77,98
80,98
81,98
86,98
88,98
89,98
90,98
91,98
92,98
93,98
94,98
95,98
96,98
97,98
98,98
99,98
100,98
101,98
102,98
103,98
104,98
105,98
106,98
107,98
108,98
109,98
110,98
112,98
114,98
115,98
116,98
117,98
119,98
121,98
122,98
125,98
135,98
76,97
81,97
83,97
84,97
85,97
86,97
88,97
90,97
91,97
92,97
93,97
95,97
96,97
97,97
98,97
99,97
100,97
101,97
103,97
104,97
107,97
108,97
109,97
110,97
111,97
112,97
113,97
115,97
116,97
118,97
119,97
124,97
125,97
126,97
135,97
75,96
76,96
81,96
83,96
84,96
86,96
87,96
88,96
90,96
91,96
92,96
94,96
96,96
98,96
99,96
100,96
101,96
103,96
104,96
105,96
106,96
107,96
109,96
110,96
111,96
112,96
113,96
115,96
117,96
118,96
119,96
121,96
123,96
127,96
128,96
76,95
81,95
82,95
83,95
88,95
89,95
90,95
92,95
93,95
94,95
95,95
96,95
97,95
98,95
99,95
100,95
101,95
102,95
104,95
105,95
106,95
107,95
108,95
109,95
110,95
111,95
112,95
113,95
114,95
116,95
117,95
121,95
123,95
124,95
126,95
127,95
129,95
69,94
77,94
81,94
82,94
83,94
84,94
85,94
87,94
90,94
91,94
92,94
93,94
94,94
95,94
96,94
98,94
100,94
101,94
102,94
103,94
104,94
105,94
106,94
107,94
108,94
109,94
111,94
112,94
113,94
115,94
116,94
117,94
118,94
119,94
120,94
121,94
126,94
75,93
79,93
84,93
87,93
88,93
89,93
90,93
91,93
92,93
93,93
95,93
96,93
97,93
98,93
100,93
101,93
102,93
103,93
104,93
105,93
106,93
107,93
109,93
110,93
111,93
112,93
113,93
117,93
118,93
128,93
66,92
70,92
74,92
75,92
76,92
78,92
81,92
84,92
85,92
86,92
88,92
89,92
90,92
91,92
92,92
93,92
94,92
95,92
96,92
97,92
98,92
99,92
100,92
101,92
102,92
103,92
104,92
105,92
106,92
107,92
109,92
110,92
111,92
112,92
114,92
116,92
124,92
67,91
74,91
80,91
82,91
83,91
85,91
87,91
88,91
89,91
90,91
92,91
93,91
94,91
95,91
96,91
97,91
98,91
99,91
100,91
101,91
103,91
104,91
105,91
106,91
107,91
109,91
110,91
111,91
117,91
118,91
120,91
124,91
88,90
90,90
91,90
92,90
93,90
94,90
95,90
97,90
98,90
99,90
100,90
101,90
102,90
103,90
104,90
105,90
106,90
107,90
110,90
111,90
112,90
113,90
115,90
116,90
117,90
124,90
66,89
74,89
78,89
80,89
83,89
85,89
86,89
88,89
89,89
90,89
91,89
92,89
93,89
94,89
95,89
96,89
97,89
98,89
99,89
101,89
102,89
103,89
104,89
105,89
107,89
109,89
111,89
112,89
113,89
114,89
116,89
118,89
120,89
123,89
125,89
127,89
71,88
78,88
79,88
84,88
86,88
87,88
88,88
89,88
91,88
92,88
93,88
94,88
97,88
98,88
100,88
101,88
102,88
103,88
104,88
105,88
106,88
108,88
109,88
110,88
111,88
112,88
113,88
114,88
115,88
117,88
119,88
71,87
84,87
85,87
86,87
87,87
89,87
90,87
91,87
92,87
93,87
94,87
95,87
96,87
97,87
98,87
100,87
101,87
102,87
105,87
106,87
108,87
109,87
110,87
111,87
117,87
118,87
119,87
122,87
129,87
131,87
81,86
82,86
83,86
87,86
90,86
91,86
92,86
93,86
94,86
96,86
97,86
99,86
100,86
102,86
103,86
106,86
107,86
108,86
111,86
112,86
114,86
118,86
123,86
128,86
77,85
81,85
83,85
86,85
87,85
88,85
89,85
90,85
91,85
92,85
93,85
94,85
96,85
98,85
99,85
101,85
102,85
103,85
104,85
105,85
108,85
109,85
110,85
113,85
117,85
121,85
122,85
78,84
79,84
85,84
87,84
88,84
89,84
90,84
92,84
95,84
96,84
98,84
99,84
100,84
101,84
103,84
104,84
105,84
106,84
108,84
109,84
112,84
114,84
116,84
121,84
125,84
127,84
80,83
81,83
84,83
85,83
88,83
92,83
93,83
94,83
95,83
97,83
100,83
101,83
103,83
104,83
105,83
106,83
107,83
110,83
111,83
112,83
115,83
116,83
117,83
122,83
128,83
81,82
84,82
87,82
89,82
91,82
92,82
93,82
95,82
96,82
97,82
102,82
103,82
107,82
111,82
75,81
83,81
84,81
85,81
88,81
92,81
94,81
95,81
96,81
98,81
99,81
101,81
102,81
103,81
107,81
109,81
110,81
112,81
118,81
119,81
120,81
78,80
84,80
87,80
88,80
89,80
90,80
91,80
92,80
96,80
97,80
98,80
99,80
100,80
102,80
104,80
105,80
106,80
109,80
130,80
90,79
94,79
95,79
96,79
97,79
98,79
102,79
104,79
105,79
107,79
115,79
116,79
76,78
100,78
103,78
104,78
106,78
107,78
122,78
124,78
73,77
84,77
87,77
89,77
95,77
96,77
102,77
106,77
114,77
116,77
74,76
85,76
88,76
92,76
97,76
98,76
99,76
100,76
103,76
108,76
115,76
89,75
97,75
103,75
95,74
98,74
113,74
117,74
88,73
96,73
111,73
79,72
82,72
91,71
92,71
98,71
103,71
104,71
105,71
89,70
120,70
91,64
91,62
