i,j
97,120
98,120
100,120
101,120
102,120
103,120
104,120
93,119
95,119
96,119
97,119
98,119
99,119
100,119
101,119
102,119
103,119
104,119
105,119
106,119
107,119
108,119
91,118
92,118
93,118
94,118
95,118
96,118
97,118
99,118
100,118
101,118
102,118
103,118
104,118
105,118
106,118
107,118
108,118
109,118
110,118
90,117
92,117
93,117
94,117
96,117
97,117
99,117
100,117
101,117
102,117
103,117
104,117
105,117
106,117
107,117
108,117
109,117
88,116
89,116
90,116
91,116
92,116
93,116
94,116
95,116
97,116
98,116
101,116
102,116
103,116
104,116
105,116
106,116
108,116
109,116
110,116
111,116
112,116
113,116
87,115
88,115
89,115
90,115
91,115
92,115
93,115
94,115
95,115
96,115
97,115
98,115
99,115
101,115
102,115
103,115
104,115
105,115
106,115
107,115
108,115
109,115
110,115
111,115
112,115
113,115
114,115
86,114
87,114
88,114
89,114
90,114
91,114
92,114
93,114
94,114
95,114
96,114
97,114
98,114
99,114
100,114
101,114
102,114
103,114
104,114
105,114
106,114
107,114
108,114
109,114
110,114
111,114
113,114
115,114
85,113
86,113
87,113
89,113
90,113
92,113
93,113
94,113
95,113
96,113
98,113
99,113
100,113
101,113
102,113
103,113
104,113
105,113
106,113
107,113
108,113
109,113
110,113
111,113
112,113
114,113
115,113
116,113
85,112
86,112
87,112
88,112
91,112
92,112
93,112
94,112
96,112
97,112
98,112
100,112
101,112
102,112
103,112
104,112
107,112
109,112
110,112
111,112
112,112
113,112
114,112
115,112
84,111
85,111
87,111
88,111
90,111
91,111
92,111
93,111
94,111
95,111
96,111
98,111
99,111
100,111
101,111
102,111
103,111
105,111
106,111
107,111
109,111
110,111
111,111
112,111
114,111
115,111
116,111
117,111
83,110
84,110
85,110
86,110
87,110
88,110
89,110
90,110
91,110
92,110
93,110
94,110
95,110
97,110
98,110
99,110
100,110
101,110
102,110
103,110
104,110
105,110
107,110
108,110
109,110
110,110
111,110
112,110
113,110
114,110
115,110
116,110
117,110
118,110
83,109
84,109
85,109
87,109
88,109
90,109
91,109
92,109
93,109
96,109
97,109
98,109
99,109
101,109
102,109
103,109
105,109
106,109
107,109
108,109
109,109
110,109
111,109
115,109
116,109
117,109
118,109
82,108
83,108
84,108
85,108
86,108
87,108
88,108
90,108
91,108
92,108
93,108
95,108
96,108
97,108
98,108
100,108
101,108
103,108
104,108
105,108
106,108
107,108
108,108
109,108
110,108
112,108
113,108
115,108
117,108
118,108
119,108
82,107
84,107
85,107
86,107
87,107
88,107
90,107
93,107
94,107
95,107
96,107
97,107
100,107
102,107
103,107
104,107
105,107
106,107
107,107
108,107
109,107
110,107
111,107
112,107
114,107
115,107
116,107
118,107
119,107
82,106
83,106
84,106
85,106
86,106
87,106
88,106
91,106
93,106
97,106
98,106
99,106
100,106
103,106
106,106
108,106
109,106
111,106
112,106
113,106
114,106
115,106
116,106
117,106
118,106
119,106
83,105
84,105
85,105
86,105
87,105
88,105
90,105
91,105
92,105
93,105
94,105
95,105
96,105
97,105
98,105
100,105
101,105
102,105
104,105
105,105
107,105
108,105
109,105
110,105
112,105
113,105
114,105
116,105
117,105
118,105
