r,u
1.0,0.9885670542601545
1.5,0.9887920042239402
2.0,0.9882937658647777
2.5,0.9887515477521919
3.0,0.9880971447369544
3.5,0.9885872112020843
4.0,0.9878312671373404
4.5,0.9883165802589521
5.0,0.9874800057849832
5.5,0.9879414085846429
6.0,0.9870358676489028
6.5,0.9874599366287296
7.0,0.9864928994070881
7.5,0.9868686730091434
8.0,0.9858451279727938
8.5,0.9861628592346924
9.0,0.9850860317419683
9.5,0.9853366147017988
10.0,0.984208303143852
10.5,0.9843829735665961
11.0,0.9832037136322798
11.5,0.9832938755808085
12.0,0.982063019221358
12.5,0.9820601332696284
13.0,0.9807758826714984
13.5,0.9806713848583963
14.0,0.9793308020101926
14.5,0.9791160374852339
15.0,0.9777150406242596
15.5,0.9773812032396433
16.0,0.9759145567121601
16.5,0.9754526297237853
17.0,0.9739139312060671
17.5,0.9733146265082837
18.0,0.9716962940588548
18.5,0.9709499887913889
19.0,0.9692432493400612
19.5,0.9683399196589562
20.0,0.9665348000366227
20.5,0.9654639525340432
21.0,0.9635492738789987
21.5,0.9622998756775051
22.0,0.9602632519492591
22.5,0.9588236609460309
23.0,0.9566515022969624
23.5,0.9550093994288487
24.0,0.9526869213046083
24.5,0.9508292470683533
25.0,0.9483404861150918
25.5,0.9462533839229642
26.0,0.9435812220625532
26.5,0.9412499913508913
27.0,0.938376189734825
27.5,0.9357852520766391
28.0,0.9326904970350856
28.5,0.9298233788390764
29.0,0.9264873423913372
29.5,0.9233266780957918
30.0,0.9197280960666759
30.5,0.9162556560504641
31.0,0.9123724273238376
31.5,0.9085691750454158
32.0,0.9043784859559941
32.5,0.9002246690757151
33.0,0.8957031473610058
33.5,0.8911784277752556
34.0,0.8863023308419149
34.5,0.8813859586241276
35.0,0.8761314010790829
35.5,0.8708024372375779
36.0,0.8651456626376631
36.5,0.8593832553089126
37.0,0.8533009568286903
37.5,0.8470846749633278
38.0,0.84055436909726
38.5,0.8338645967937476
39.0,0.8268650532192778
39.5,0.8196834465413837
40.0,0.812195175796692
40.5,0.8045051821015559
41.0,0.796510980704487
41.5,0.7882984181425239
42.0,0.7797839681388553
42.5,0.7710376600183748
43.0,0.7619921766675886
43.5,0.7527046317907322
44.0,0.7431215491850477
44.5,0.7332896750891543
45.0,0.7231673550215003
45.5,0.7127931863959885
46.0,0.7021356308812772
46.5,0.6912270504483226
47.0,0.6800445931825998
47.5,0.6686160172961528
48.0,0.656925964329426
48.5,0.6449989608265883
49.0,0.6328261462458596
49.5,0.6204299481386444
50.0,0.6078071671157919
50.5,0.5949790430804512
51.0,0.5819473228067314
51.5,0.568732764697393
52.0,0.555341434093635
52.5,0.5417941234528414
53.0,0.5281006456587359
53.5,0.5142821659135189
54.0,0.5003517038429919
54.5,0.4863309728867318
55.0,0.4722356677966343
55.5,0.4580880770301934
56.0,0.44390603299094195
56.5,0.4297122933566205
57.0,0.41552627626736394
57.5,0.4013709886858076
58.0,0.3872668661669338
58.5,0.3732368520041874
59.0,0.35930181886073753
59.5,0.34548426417741257
60.0,0.3318049155848096
60.5,0.3182853992773651
61.0,0.3049457286620696
61.5,0.2918062174579313
62.0,0.27888562653758825
62.5,0.26620252756629936
63.0,0.2537739407554131
63.5,0.2416163038885103
64.0,0.2297444773399482
64.5,0.21817243406437076
65.0,0.20691254074663873
65.5,0.19597605412814031
66.0,0.18537261103452848
66.5,0.17511059321932784
67.0,0.1651967763068331
67.5,0.15563660756622721
68.0,0.14643397617195078
68.5,0.13759143477821353
69.0,0.1291100622736814
69.5,0.12098964980128268
70.0,0.11322863342018266
70.5,0.10582425762313331
71.0,0.09877255982293938
71.5,0.09206851892922484
72.0,0.08570607694478703
72.5,0.07967827635242561
73.0,0.07397730675746045
73.5,0.06859463235243124
74.0,0.06352105375038326
74.5,0.05874682534079162
75.0,0.05426172438727479
75.5,0.050055157401393845
76.0,0.046116230310751676
76.5,0.04243384283274372
77.0,0.03899675508381855
77.5,0.035793669141695815
78.0,0.03281328886298321
78.5,0.03004438822392516
79.0,0.02747586232821448
79.5,0.0250967825923952
80.0,0.02289643794499001
80.5,0.02086437738649523
81.0,0.018990441198268898
81.5,0.01726479180246282
82.0,0.015677935417887735
82.5,0.01422074244196854
83.0,0.012884460424397426
83.5,0.011660725381387944
84.0,0.010541567227739936
84.5,0.009519413518088219
85.0,0.008587088610598316
85.5,0.0077378113247038366
86.0,0.006965189133774311
86.5,0.006263211153026615
87.0,0.005626238602468576
87.5,0.005048994412641461
88.0,0.004526551088854307
88.5,0.004054318065470442
89.0,0.00362802796015409
89.5,0.0032437226362608744
90.0,0.0028977386795052624
90.5,0.0025866929560241594
91.0,0.002307467987197295
91.5,0.0020571976280004396
92.0,0.001833252868306855
92.5,0.0016332281088424837
93.0,0.00145492778531872
93.5,0.0012963535914438595
94.0,0.001155692208997825
94.5,0.0010313037204782772
95.0,0.0009217106348484493
95.5,0.000825587646333741
96.0,0.0007417520715851511
96.5,0.0006691550445251513
97.0,0.0006068734245223738
97.5,0.0005541024678720853
98.0,0.0005101492260541172
98.5,0.0004744266998395154
99.0,0.0004464487192234294
99.5,0.0004258255634925757
100.0,0.0004122602972639222
100.5,0.0004055458263084683
